subjid	 runtrial	 onsettime	 ImageLeft	 ImageRight	 StimNumLeft	 StimNumRight	 Response	 Outcome	 RT
BMI_bf_105	 291	 1.015519e+03	 101.tif	 024.tif	 31	 24	 u	 0	 8.099030e+02
BMI_bf_105	 292	 1.019019e+03	 024.tif	 126.tif	 24	 56	 i	 0	 5.417390e+02
BMI_bf_105	 293	 1.022519e+03	 120.tif	 122.tif	 50	 52	 u	 0	 7.136665e+02
BMI_bf_105	 294	 1.026019e+03	 107.tif	 115.tif	 37	 45	 i	 0	 1.101449e+03
BMI_bf_105	 295	 1.029518e+03	 105.tif	 104.tif	 35	 34	 i	 0	 1.145421e+03
BMI_bf_105	 296	 1.033018e+03	 117.tif	 016.tif	 47	 16	 u	 0	 7.572268e+02
BMI_bf_105	 297	 1.036518e+03	 120.tif	 128.tif	 50	 58	 i	 0	 7.131944e+02
BMI_bf_105	 298	 1.040018e+03	 120.tif	 016.tif	 50	 16	 u	 0	 7.169902e+02
BMI_bf_105	 299	 1.043518e+03	 120.tif	 117.tif	 50	 47	 u	 0	 7.849276e+02
BMI_bf_105	 300	 1.047034e+03	 110.tif	 016.tif	 40	 16	 u	 0	 8.601617e+02
