subjid runtrial onsettime ImageLeft ImageRight StimNumLeft StimNumRight Response Outcome RT 
Yael 271 9.455297e+02 106.tif 014.tif 36 14 i 0 1.172203e+03
Yael 272 9.490295e+02 125.tif 112.tif 55 42 u 0 1.432108e+03
Yael 273 9.525295e+02 116.tif 013.tif 46 13 u 0 7.799215e+02
Yael 274 9.560293e+02 029.tif 005.tif 29 5 u 0 1.703921e+03
Yael 275 9.595292e+02 004.tif 105.tif 4 35 u 0 1.147889e+03
Yael 276 9.630292e+02 004.tif 115.tif 4 45 i 0 6.716619e+02
Yael 277 9.665292e+02 024.tif 007.tif 24 7 i 0 -1.084197e+03
Yael 278 9.700291e+02 024.tif 112.tif 24 42 i 0 1.119413e+03
Yael 279 9.735291e+02 009.tif 006.tif 9 6 i 0 1.211204e+03
Yael 280 9.770290e+02 112.tif 122.tif 42 52 i 0 1.135141e+03
Yael 281 9.805289e+02 125.tif 122.tif 55 52 i 0 1.338955e+03
Yael 282 9.840288e+02 125.tif 004.tif 55 4 u 0 1.190920e+03
Yael 283 9.875288e+02 005.tif 107.tif 5 37 i 0 1.386714e+03
Yael 284 9.910286e+02 105.tif 125.tif 35 55 u 0 1.390609e+03
Yael 285 9.945286e+02 122.tif 015.tif 52 15 u 0 6.424905e+02
Yael 286 9.980285e+02 115.tif 029.tif 45 29 u 0 1.062412e+03
Yael 287 1.001528e+03 001.tif 108.tif 1 38 i 0 9.622242e+02
Yael 288 1.005028e+03 129.tif 006.tif 59 6 u 0 8.701947e+02
Yael 289 1.008528e+03 004.tif 122.tif 4 52 i 0 7.220007e+02
Yael 290 1.012028e+03 115.tif 014.tif 45 14 u 0 8.379423e+02
Yael 291 1.015528e+03 125.tif 115.tif 55 45 i 0 1.041736e+03
Yael 292 1.019028e+03 108.tif 122.tif 38 52 u 0 1.037689e+03
Yael 293 1.022528e+03 014.tif 129.tif 14 59 i 0 8.653807e+02
Yael 294 1.026028e+03 010.tif 115.tif 10 45 i 0 8.534601e+02
Yael 295 1.029528e+03 022.tif 006.tif 22 6 i 0 1.073291e+03
Yael 296 1.033028e+03 122.tif 014.tif 52 14 u 0 6.932259e+02
Yael 297 1.036528e+03 004.tif 010.tif 4 10 i 0 7.288091e+02
Yael 298 1.040028e+03 115.tif 108.tif 45 38 i 0 7.009516e+02
Yael 299 1.043528e+03 004.tif 022.tif 4 22 i 0 7.767526e+02
Yael 300 1.047027e+03 004.tif 108.tif 4 38 i 0 6.367063e+02
