subjid	scanner	order	block	runtrial	onsettime	ImageLeft	ImageRight	TypeLeft	TypeRight	IsLefthigh	Response	PairType	Outcome	RT	bidIndexLeft	bidIndexRight
BM2_149	0	2	1	44	220	PeanutMMs.bmp	FigNewton_small.bmp	15	10	0	i	1	0	849.85	15.00	10.00	
BM2_149	0	2	1	45	224	100grand_small.bmp	Jollyrancherred.bmp	52	49	1	u	2	0	641.07	52.00	49.00	
BM2_149	0	2	1	46	227	Doritosranch.bmp	Twix.bmp	18	39	1	u	3	0	645.82	18.00	39.00	
BM2_149	0	2	1	47	230	Twix.bmp	Streusel.bmp	39	21	0	i	3	0	867.27	39.00	21.00	
BM2_149	0	2	1	48	233	Streusel.bmp	TeddyGrahamschocolate.bmp	21	44	1	u	3	0	744.03	21.00	44.00	
BM2_149	0	2	1	49	241	SourSkittles.bmp	PopTartsStrawberry.bmp	12	9	0	i	1	0	831.33	12.00	9.00	
BM2_149	0	2	1	50	244	Sourpatch.bmp	PeanutMMs.bmp	14	15	1	i	1	1	1404.15	14.00	15.00	
BM2_149	0	2	1	51	252	Laffytaffyred_one.bmp	Hersheymilk_several.bmp	38	19	0	i	4	0	609.59	38.00	19.00	
BM2_149	0	2	1	52	259	Sourpatch.bmp	Goldfish.bmp	14	11	1	u	1	0	764.64	14.00	11.00	
BM2_149	0	2	1	53	262	KitKat_small.bmp	Oreos.bmp	42	16	0	i	4	0	738.01	42.00	16.00	
BM2_149	0	2	1	54	269	Hersheykisses.bmp	RitzBitz2.bmp	51	50	1	u	2	0	729.23	51.00	50.00	
BM2_149	0	2	1	55	273	FigNewton_small.bmp	SourSkittles.bmp	10	12	1	i	1	1	630.21	10.00	12.00	
BM2_149	0	2	1	56	282	Lollipopred.bmp	CheesyDoritos.bmp	46	48	0	i	2	0	521.43	46.00	48.00	
BM2_149	0	2	1	57	286	Sourpatch.bmp	AnimalCrackers.bmp	14	8	1	u	1	0	744.85	14.00	8.00	
BM2_149	0	2	1	58	300	Laffytaffyred_one.bmp	Oreos.bmp	38	16	0	i	4	0	657.29	38.00	16.00	
BM2_149	0	2	1	59	303	Doritosranch.bmp	TeddyGrahamschocolate.bmp	18	44	1	u	3	0	559.18	18.00	44.00	
BM2_149	0	2	1	60	306	Oreos.bmp	Funyuns_small.bmp	16	45	1	i	4	1	899.94	16.00	45.00	
BM2_149	0	2	1	61	309	Streusel.bmp	Chocolate_mm.bmp	21	40	1	i	3	1	561.32	21.00	40.00	
BM2_149	0	2	1	62	312	KitKat_small.bmp	BabyRuth.bmp	42	23	0	u	4	1	521.50	42.00	23.00	
BM2_149	0	2	1	63	315	KitKat_small.bmp	Hersheymilk_several.bmp	42	19	0	i	4	0	633.62	42.00	19.00	
BM2_149	0	2	1	64	318	Reeses.bmp	Slimjim.bmp	43	17	0	i	3	0	671.67	43.00	17.00	
BM2_149	0	2	2	65	326	Slimjim.bmp	TeddyGrahamschocolate.bmp	17	44	1	u	3	0	809.50	17.00	44.00	
BM2_149	0	2	2	66	330	Hersheymilk_several.bmp	FamousAmos_small.bmp	19	41	1	u	4	0	1084.03	19.00	41.00	
BM2_149	0	2	2	67	335	PeanutMMs.bmp	PopTartsStrawberry.bmp	15	9	0	i	1	0	575.81	15.00	9.00	
BM2_149	0	2	2	68	341	Jollyrancherred.bmp	Hersheykisses.bmp	49	51	0	i	2	0	650.00	49.00	51.00	
BM2_149	0	2	2	69	344	Funyuns_small.bmp	BabyRuth.bmp	45	23	0	u	4	1	604.01	45.00	23.00	
BM2_149	0	2	2	70	347	Chocolate_mm.bmp	3Musketeers.bmp	40	22	0	u	3	1	499.44	40.00	22.00	
BM2_149	0	2	2	71	351	Twix.bmp	Slimjim.bmp	39	17	0	i	3	0	599.21	39.00	17.00	
BM2_149	0	2	2	72	354	Granolabar.bmp	PeanutMMs.bmp	13	15	1	i	1	1	812.65	13.00	15.00	
BM2_149	0	2	2	73	364	Hersheykisses.bmp	Lollipopred.bmp	51	46	1	u	2	0	697.86	51.00	46.00	
BM2_149	0	2	2	74	372	Jollyrancherred.bmp	CheesyDoritos.bmp	49	48	0	i	2	0	561.90	49.00	48.00	
BM2_149	0	2	2	75	382	PopTartsStrawberry.bmp	Goldfish.bmp	9	11	1	u	1	0	543.10	9.00	11.00	
BM2_149	0	2	2	76	385	3Musketeers.bmp	TeddyGrahamschocolate.bmp	22	44	1	i	3	1	636.49	22.00	44.00	
BM2_149	0	2	2	77	389	AnimalCrackers.bmp	PopTartsStrawberry.bmp	8	9	0	i	1	0	763.22	8.00	9.00	
BM2_149	0	2	2	78	394	SourSkittles.bmp	Granolabar.bmp	12	13	0	u	1	1	658.84	12.00	13.00	
BM2_149	0	2	2	79	398	Cheetos.bmp	100grand_small.bmp	53	52	0	u	2	1	486.52	53.00	52.00	
BM2_149	0	2	2	80	403	FamousAmos_small.bmp	Oreos.bmp	41	16	0	i	4	0	1201.80	41.00	16.00	
BM2_149	0	2	2	81	406	Milkduds.bmp	RitzBitz2.bmp	47	50	1	i	2	1	851.90	47.00	50.00	
BM2_149	0	2	2	82	410	Reeses.bmp	Streusel.bmp	43	21	0	i	3	0	730.18	43.00	21.00	
BM2_149	0	2	2	83	413	FigNewton_small.bmp	AnimalCrackers.bmp	10	8	1	u	1	0	806.94	10.00	8.00	
